iter	Passed	Remaining
0	297	59229
1	300	29706
2	302	19892
3	305	14955
4	308	12015
5	310	10035
6	313	8641
7	316	7595
8	319	6772
9	321	6105
10	323	5553
11	325	5091
12	327	4710
13	329	4373
14	330	4073
15	331	3816
16	333	3592
17	335	3396
18	337	3216
19	339	3058
20	341	2910
21	343	2776
22	345	2661
23	348	2556
24	350	2452
25	352	2358
26	354	2273
27	357	2193
28	359	2121
29	361	2050
30	364	1985
31	366	1924
32	368	1864
33	370	1806
34	371	1752
35	373	1702
36	375	1654
37	378	1614
38	382	1579
39	385	1542
40	388	1508
41	391	1472
42	394	1439
43	396	1404
44	397	1370
45	400	1339
46	402	1309
47	404	1280
48	406	1251
49	407	1223
50	410	1198
51	411	1172
52	413	1147
53	415	1123
54	417	1099
55	419	1078
56	421	1056
57	423	1036
58	425	1016
59	426	996
60	429	977
61	431	960
62	433	941
63	434	923
64	436	907
65	439	892
66	441	876
67	443	860
68	444	844
69	447	830
70	449	815
71	450	801
72	452	787
73	455	774
74	457	762
75	459	749
76	461	736
77	463	724
78	464	711
79	466	700
80	468	688
81	470	677
82	472	665
83	474	655
84	476	645
85	479	635
86	481	624
87	482	614
88	485	605
89	487	595
90	489	586
91	491	577
92	493	567
93	495	558
94	497	549
95	499	541
96	501	532
97	504	524
98	505	516
99	507	507
100	510	499
101	512	492
102	515	485
103	517	477
104	518	469
105	520	461
106	523	454
107	524	447
108	526	439
109	528	432
110	531	425
111	533	418
112	534	411
113	536	404
114	538	398
115	541	392
116	543	385
117	546	380
118	548	373
119	551	367
120	553	361
121	555	354
122	556	348
123	559	342
124	562	337
125	564	331
126	566	325
127	569	320
128	571	314
129	573	309
130	576	303
131	579	298
132	581	292
133	584	287
134	586	282
135	588	277
136	590	271
137	593	266
138	596	261
139	598	256
140	600	251
141	602	246
142	605	241
143	607	236
144	609	231
145	612	226
146	613	221
147	616	216
148	617	211
149	619	206
150	621	201
151	623	196
152	625	192
153	627	187
154	629	182
155	630	177
156	632	173
157	635	168
158	636	164
159	639	159
160	641	155
161	643	151
162	645	146
163	647	142
164	649	137
165	651	133
166	654	129
167	656	124
168	658	120
169	659	116
170	662	112
171	664	108
172	666	104
173	668	99
174	670	95
175	672	91
176	674	87
177	676	83
178	678	79
179	681	75
180	683	71
181	685	67
182	687	63
183	689	59
184	691	56
185	693	52
186	695	48
187	697	44
188	700	40
189	701	36
190	703	33
191	705	29
192	707	25
193	709	21
194	711	18
195	713	14
196	715	10
197	717	7
198	719	3
199	720	0
